rank,title,link,director,actor,image_link,year,country,typ,score,people,words
171,人工智能,https://movie.douban.com/subject/1302827/,史蒂文·斯皮尔伯格 Steven Spielberg,海利·乔·奥斯蒙 Haley...,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p792257137.jpg,2001,美国,冒险 剧情 科幻,8.6,224555人评价,对爱的执着，可以超越一切。
172,头脑特工队,https://movie.douban.com/subject/10533913/,彼特·道格特 Pete Docter / 罗纳尔多·德尔·卡门 Ronaldo Del Carmen??&nb...,,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2266293606.jpg,2015,美国,喜剧 动画 冒险,8.7,283010人评价,愿我们都不用长大，每一座城堡都能永远存在。
173,被解救的姜戈,https://movie.douban.com/subject/6307447/,昆汀·塔伦蒂诺 Quentin Tarantino,杰米·福克斯 Jamie Foxx /...,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1959232369.jpg,2012,美国,剧情 动作 西部 冒险,8.6,304681人评价,热血沸腾，那个低俗、性感的无耻混蛋又来了。
174,爆裂鼓手,https://movie.douban.com/subject/25773932/,达米安·沙泽勒 Damien Chazelle,迈尔斯·特勒 Miles Teller /...,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2220776342.jpg,2014,美国,剧情 音乐,8.6,280862人评价,这个世界从不善待努力的人，努力了也不一定会成功，但是知道自己在努力，就是活下去的动力。
175,未麻的部屋,https://movie.douban.com/subject/1395091/,今敏 Satoshi Kon,岩男润子 Junko Iwao / 松本梨香 Rica Matsu...,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1351050722.jpg,1997,日本,动画 奇幻 惊悚,8.9,121019人评价,好的剧本是，就算你猜到了结局也猜不到全部。
176,罗生门,https://movie.douban.com/subject/1291879/,黑泽明 Akira Kurosawa,三船敏郎 Toshir? Mifune / 千秋实 ...,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1864872647.jpg,1950,日本,犯罪 剧情 悬疑,8.7,151150人评价,人生的N种可能性。
177,你的名字。,https://movie.douban.com/subject/26683290/,新海诚 Makoto Shinkai,神木隆之介 Ry?nosuke Kamiki / 上...,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2395733377.jpg,2016,日本,剧情 爱情 动画,8.4,602465人评价,穿越错位的时空，仰望陨落的星辰，你没留下你的名字，我却无法忘记那句“我爱你”。
178,浪潮,https://movie.douban.com/subject/2297265/,丹尼斯·甘塞尔 Dennis Gansel,尤尔根·沃格尔 Jürgen Vogel ...,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1344888983.jpg,2008,德国,剧情 惊悚,8.7,154193人评价,世界离独裁只有五天。
179,无敌破坏王,https://movie.douban.com/subject/6534248/,瑞奇·莫尔 Rich Moore,约翰·C·赖利 John C. Reilly / 萨拉...,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1735642656.jpg,2012,美国,喜剧 动画 奇幻 冒险,8.7,243600人评价,迪士尼和皮克斯拿错剧本的产物。
180,香水,https://movie.douban.com/subject/1760622/,汤姆·提克威 Tom Tykwer,本·卫肖 Ben Whishaw / 艾伦·瑞克...,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p470006658.jpg,2006,德国 法国 西班牙 美国,剧情 犯罪 奇幻,8.4,320090人评价,一个单凭体香达到高潮的男人。
181,阿飞正传,https://movie.douban.com/subject/1305690/,王家卫 Kar Wai Wong,张国荣 Leslie Cheung / 张曼玉 Maggie C...,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2525770523.jpg,1990,香港,犯罪 剧情 爱情,8.5,250279人评价,王家卫是一种风格，张国荣是一个代表。
182,朗读者,https://movie.douban.com/subject/2213597/,史蒂芬·戴德利 Stephen Daldry,凯特·温丝莱特 Kate Winslet ...,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1140984198.jpg,2008,美国 德国,剧情 爱情,8.5,307780人评价,当爱情跨越年龄的界限，它似乎能变得更久远一点，成为一种责任，一种水到渠成的相濡以沫。 
183,房间,https://movie.douban.com/subject/25724855/,伦尼·阿伯拉罕森 Lenny Abrahamson,布丽·拉尔森 Brie Larson...,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2259715855.jpg,2015,爱尔兰 加拿大 英国 美国,剧情 家庭,8.8,191896人评价,被偷走的岁月，被伤害的生命，被禁锢的灵魂，终将被希望和善意救赎。
184,恐怖游轮,https://movie.douban.com/subject/3011051/,克里斯托弗·史密斯 Christopher Smith,梅利莎·乔治 Melissa ...,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p462470694.jpg,2009,英国 澳大利亚,剧情 悬疑 惊悚,8.4,388953人评价,不要企图在重复中寻找已经失去的爱。
185,模仿游戏,https://movie.douban.com/subject/10463953/,莫腾·泰杜姆 Morten Tyldum,本尼迪克特·康伯巴奇 Benedict C...,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2255040492.jpg,2014,英国 美国,剧情 传记 战争 同性,8.6,305262人评价,他给机器起名“克里斯托弗”，因为这是他初恋的名字。
186,可可西里,https://movie.douban.com/subject/1308857/,陆川 Chuan Lu,多布杰 Duobujie / 张磊 Lei Zhang / 亓亮 Qi L...,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2363208684.jpg,2004,中国大陆 香港,剧情 犯罪,8.7,151457人评价,坚硬的信仰。
187,一个叫欧维的男人决定去死,https://movie.douban.com/subject/26628357/,汉内斯·赫尔姆 Hannes Holm,罗夫·拉斯加德 Rolf Lassg?rd...,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2406624993.jpg,2015,瑞典,剧情,8.8,156309人评价,惠及一生的美丽。
188,忠犬八公物语,https://movie.douban.com/subject/1959195/,Seijir? K?yama,山本圭 Kei Yamamoto / 井川比佐志 Hisa...,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2297934945.jpg,1987,日本,剧情,9.1,77024人评价,养狗三日，便会对你终其一生。
189,魔女宅急便,https://movie.douban.com/subject/1307811/,宫崎骏 Hayao Miyazaki,高山南 Minami Takayama / 佐久间玲 Re...,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p456676352.jpg,1989,日本,动画 奇幻 冒险,8.5,233020人评价,宫崎骏的电影总让人感觉世界是美好的，阳光明媚的。
190,一次别离,https://movie.douban.com/subject/5964718/,阿斯哈·法哈蒂  Asghar Farhadi,佩曼·莫阿迪 Peyman Moadi /...,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2189835254.jpg,2011,伊朗 法国,剧情 家庭,8.7,151840人评价,只有有信仰的人才能说出事实真相。
191,战争之王,https://movie.douban.com/subject/1419936/,安德鲁·尼科尔 Andrew Niccol,尼古拉斯·凯奇 Nicolas Cage /...,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p453719066.jpg,2005,美国 法国,剧情 犯罪,8.6,198807人评价,做一颗让别人需要你的棋子。
192,哪吒闹海,https://movie.douban.com/subject/1307315/,严定宪 Dingxian Yan / 王树忱 Shuchen Wang,梁正晖 Zhenghui ...,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2516566783.jpg,1979,中国大陆,冒险 动画 奇幻,8.9,100237人评价,想你时你在闹海。
193,完美陌生人,https://movie.douban.com/subject/26614893/,保罗·格诺维瑟 Paolo Genovese,马可·贾利尼 Marco Giallini ...,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2522331945.jpg,2016,意大利,剧情 喜剧,8.6,257338人评价,来啊，互相伤害啊！
194,谍影重重,https://movie.douban.com/subject/1304102/,道格·里曼 Doug Liman,马特·达蒙 Matt Damon / 弗兰卡·波坦...,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1597183981.jpg,2002,美国 德国 捷克,动作 悬疑 惊悚,8.5,226490人评价,哗啦啦啦啦，天在下雨，哗啦啦啦啦，云在哭泣……找自己。
195,追随,https://movie.douban.com/subject/1397546/,克里斯托弗·诺兰 Christopher Nolan,杰里米·西奥伯德 Jeremy...,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1150103377.jpg,1998,英国,犯罪 悬疑 惊悚,8.9,94974人评价,诺兰的牛逼来源于内心散发出的恐惧。
196,牯岭街少年杀人事件,https://movie.douban.com/subject/1292329/,杨德昌 Edward Yang,张震 Chen Chang / 杨静怡 Lisa Yang / 张...,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p848381236.jpg,1991,台湾,剧情 犯罪,8.8,127465人评价,弱者送给弱者的一刀。
197,地球上的星星,https://movie.douban.com/subject/2363506/,阿米尔·汗 Aamir Khan,达席尔·萨法瑞 Darsheel Safary / 阿...,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1973489335.jpg,2007,印度,剧情 儿童 家庭,8.9,101381人评价,天使保护事件始末。
198,谍影重重2,https://movie.douban.com/subject/1308767/,保罗·格林格拉斯 Paul Greengrass,马特·达蒙 Matt Damon / ...,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p667644866.jpg,2004,美国 德国,动作 悬疑 惊悚,8.6,188596人评价,谁说王家卫镜头很晃？
199,撞车,https://movie.douban.com/subject/1388216/,保罗·哈吉斯 Paul Haggis,桑德拉·布洛克 Sandra Bullock / ...,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2075132390.jpg,2004,美国 德国,犯罪 剧情,8.6,197715人评价,天使与魔鬼的冲撞。
200,黑客帝国3：矩阵革命,https://movie.douban.com/subject/1302467/,Andy Wachowski / Larry Wachowski,Keanu Reeves / Laurence F...,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p443461818.jpg,2003,美国 澳大利亚,动作 科幻,8.6,187369人评价,不得不说，《黑客帝国》系列是商业片与科幻、哲学完美结合的典范。
201,惊魂记,https://movie.douban.com/subject/1293181/,Alfred Hitchcock,Janet Leigh / Anthony Perkins / Vera Miles,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1021883305.jpg,1960,美国,悬疑 惊悚 恐怖,8.9,101242人评价,故事的反转与反转，分裂电影的始祖。
202,青蛇,https://movie.douban.com/subject/1303394/,徐克 Hark Tsui,张曼玉 Maggie Cheung / 王祖贤 Joey Wang / ...,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p584021784.jpg,1993,香港,剧情 奇幻 古装,8.5,263892人评价,人生如此，浮生如斯。谁人言，花彼岸，此生情长意短。谁都是不懂爱的罢了。
203,梦之安魂曲,https://movie.douban.com/subject/1292270/,达伦·阿伦诺夫斯基 Darren Aronofsky,艾伦·伯斯汀 Ellen Bur...,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p884936202.jpg,2000,美国,剧情,8.7,128904人评价,一场没有春天的噩梦。
204,海街日记,https://movie.douban.com/subject/25895901/,是枝裕和 Hirokazu Koreeda,绫濑遥 Haruka Ayase / 长泽雅美 M...,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2232247487.jpg,2015,日本,剧情 家庭,8.7,170816人评价,是枝裕和的家庭习作。
205,小萝莉的猴神大叔,https://movie.douban.com/subject/26393561/,卡比尔·汗 Kabir Khan,萨尔曼·汗 Salman Khan / 哈莎莉·马...,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2510956726.jpg,2015,印度,剧情 喜剧 动作,8.5,212199人评价,宝莱坞的萝莉与大叔。
206,再次出发之纽约遇见你,https://movie.douban.com/subject/6874403/,约翰·卡尼 John Carney,凯拉·奈特莉 Keira Knightley / 马克...,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2250287733.jpg,2013,美国,喜剧 爱情 音乐,8.5,207642人评价,爱我就给我看你的播放列表。
207,新龙门客栈,https://movie.douban.com/subject/1292287/,李惠民 Raymond Lee,张曼玉 Maggie Cheung / 林青霞 Brigitte ...,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1421018669.jpg,1992,香港 中国大陆,剧情 动作 武侠 古装,8.5,220387人评价,嬉笑怒骂，调风动月。
208,步履不停,https://movie.douban.com/subject/2222996/,是枝裕和 Hirokazu Koreeda,阿部宽 Hiroshi Abe / 夏川结衣 Yu...,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p672446737.jpg,2008,日本,剧情 家庭,8.8,109203人评价,日本的家庭电影已经是世界巅峰了，步履不停是巅峰中的佳作。
209,源代码,https://movie.douban.com/subject/3075287/,邓肯·琼斯 Duncan Jones,杰克·吉伦哈尔 Jake Gyllenhaal / ...,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p988260245.jpg,2011,美国 加拿大,科幻 悬疑 惊悚,8.4,463217人评价,邓肯·琼斯继《月球》之后再度奉献出一部精彩绝伦的科幻佳作。
210,东京物语,https://movie.douban.com/subject/1291568/,小津安二郎 Yasujir? Ozu,笠智众 Chish? Ry? / 原节...,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1910832390.jpg,1953,日本,剧情 家庭,9.2,61706人评价,东京那么大，如果有一天走失了，恐怕一辈子不能再相见。
211,终结者2：审判日,https://movie.douban.com/subject/1291844/,詹姆斯·卡梅隆 James Cameron,阿诺·施瓦辛格 Arnold Schwarz...,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1910909085.jpg,1991,美国 法国,动作 科幻,8.6,166635人评价,少见的超越首部的续集，动作片中的经典。
212,初恋这件小事,https://movie.douban.com/subject/4739952/,普特鹏·普罗萨卡·那·萨克那卡林 Puttipong Promsaka Na Sakolnakorn / 华森·波克彭...,,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1505312273.jpg,2010,泰国,剧情 喜剧 爱情,8.3,540754人评价,黑小鸭速效美白记。
213,疯狂的石头,https://movie.douban.com/subject/1862151/,宁浩 Hao Ning,郭涛 Tao Guo / 刘桦 Hua Liu / 连晋 Teddy Lin,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p712241453.jpg,2006,中国大陆 香港,喜剧 犯罪,8.3,377180人评价,中国版《两杆大烟枪》。
214,城市之光,https://movie.douban.com/subject/1293908/,Charles Chaplin,查理·卓别林 Charles Chaplin / 弗吉尼亚·...,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2170238803.jpg,1931,美国,喜剧 剧情 爱情,9.2,54534人评价,永远的小人物，伟大的卓别林。
215,绿里奇迹,https://movie.douban.com/subject/1300374/,Frank Darabont,汤姆·汉克斯 Tom Hanks / 大卫·摩斯 David M...,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p767586451.jpg,1999,美国,犯罪 剧情 奇幻 悬疑,8.7,125043人评价,天使暂时离开。
216,爱在午夜降临前,https://movie.douban.com/subject/10808442/,理查德·林克莱特 Richard Linklater,伊桑·霍克 Ethan Hawke ...,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2074715729.jpg,2013,美国,剧情 爱情,8.8,139523人评价,所谓爱情，就是话唠一路，都不会心生腻烦，彼此嫌弃。
217,无耻混蛋,https://movie.douban.com/subject/1438652/,Quentin Tarantino,布拉德·皮特 Brad Pitt / 梅拉尼·罗兰 M...,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p770734475.jpg,2009,美国 德国,剧情 犯罪,8.5,256765人评价,昆汀同学越来越变态了，比北野武还杜琪峰。
218,末路狂花,https://movie.douban.com/subject/1291992/,雷德利·斯科特 Ridley Scott,吉娜·戴维斯 Geena Davis / 苏...,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p794583044.jpg,1991,美国 法国,犯罪 剧情 惊悚,8.7,121298人评价,没有了退路，只好飞向自由。
219,秒速5厘米,https://movie.douban.com/subject/2043546/,新海诚 Makoto Shinkai,水桥研二 Kenji Mizuhashi / 近藤好美 ...,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p982896012.jpg,2007,日本,动画 剧情 爱情,8.3,355185人评价,青春就是放弃和怀念。
220,这个男人来自地球,https://movie.douban.com/subject/2300586/,理查德·沙因克曼 Richard Schenkman,大卫·李·史密斯 David ...,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p513303986.jpg,2007,美国,剧情 科幻,8.5,212718人评价,科幻真正的魅力不是视觉效果能取代的。 
221,勇闯夺命岛,https://movie.douban.com/subject/1292728/,迈克尔·贝 Michael Bay,肖恩·康纳利 Sean Connery / 尼古拉...,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p636048104.jpg,1996,美国,动作 冒险,8.6,161803人评价,类型片的极致。 
222,E.T. 外星人,https://movie.douban.com/subject/1294638/,Steven Spielberg,Henry Thomas / Dee Wallace / Robert MacNa...,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p984732992.jpg,1982,美国,剧情 科幻,8.5,180987人评价,生病的E.T.皮肤的颜色就像柿子饼。
223,变脸,https://movie.douban.com/subject/1292659/,吴宇森 John Woo,约翰·特拉沃尔塔 John Travolta / 尼古拉斯...,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2173855883.jpg,1997,美国,动作 科幻 犯罪 惊悚,8.4,243483人评价,当发哥的风衣、墨镜出现在了凯奇身上??
224,碧海蓝天,https://movie.douban.com/subject/1300960/,Luc Besson,让-马克·巴尔 Jean-Marc Barr / 让·雷诺 Jean Re...,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p455722535.jpg,1988,法国 美国 意大利,剧情 爱情,8.7,115870人评价,在那片深蓝中，感受来自大海的忧伤寂寞与美丽自由。
225,彗星来的那一夜,https://movie.douban.com/subject/25807345/,詹姆斯·沃德·布柯特 James Ward Byrkit,艾米丽·芭尔多尼 Em...,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2187896711.jpg,2013,美国 英国,科幻 悬疑 惊悚,8.4,223928人评价,小成本大魅力。
226,卡萨布兰卡,https://movie.douban.com/subject/1296753/,Michael Curtiz,亨弗莱·鲍嘉 Humphrey Bogart / 英格丽·褒曼...,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1244791866.jpg,1942,美国,剧情 爱情 战争,8.6,142294人评价,世界上有那么多女人那么多酒馆，但她偏偏走进我的这家。
227,黄金三镖客,https://movie.douban.com/subject/1401118/,Sergio Leone,Clint Eastwood / Eli Wallach / Lee Van Cleef,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2101693489.jpg,1966,意大利 西班牙 西德,冒险 西部,9.1,61035人评价,最棒的西部片。
228,发条橙,https://movie.douban.com/subject/1292233/,Stanley Kubrick,Malcolm McDowell / Patrick Magee / Michael...,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p529908155.jpg,1971,英国 美国,犯罪 剧情 科幻,8.5,210215人评价,我完全康复了。
229,聚焦,https://movie.douban.com/subject/25954475/,托马斯·麦卡锡 Thomas McCarthy,马克·鲁弗洛 Mark Ruffalo /...,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2263822658.jpg,2015,美国,剧情 传记,8.8,150794人评价,新闻人的理性求真。
230,血钻,https://movie.douban.com/subject/1428175/,爱德华·兹威克 Edward Zwick,莱昂纳多·迪卡普里奥 Leonardo ...,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1244017073.jpg,2006,美国 德国,剧情 惊悚 冒险,8.6,159948人评价,每个美丽事物背后都是滴血的现实。
231,美国丽人,https://movie.douban.com/subject/1292062/,萨姆·门德斯 Sam Mendes,凯文·史派西 Kevin Spacey / 安妮特...,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p571671715.jpg,1999,美国,剧情 爱情 家庭,8.5,211300人评价,每个人的内心都是深不可测的大海。 
232,海盗电台,https://movie.douban.com/subject/3007773/,理查德·柯蒂斯 Richard Curtis,比尔·奈伊 Bill Nighy / 肯尼...,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p769608791.jpg,2009,英国 德国 法国,剧情 喜剧 音乐,8.6,181730人评价,生命不止，摇滚不死。
233,国王的演讲,https://movie.douban.com/subject/4023638/,汤姆·霍珀 Tom Hooper,柯林·菲尔斯 Colin Firth / 杰弗里·...,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p768879237.jpg,2010,英国 澳大利亚 美国,剧情 传记 历史,8.3,388401人评价,皇上无话儿。
234,非常嫌疑犯,https://movie.douban.com/subject/1292214/,布莱恩·辛格 Bryan Singer,史蒂芬·鲍德温 Stephen Baldwin /...,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2537319495.jpg,1995,德国 美国,剧情 犯罪 悬疑 惊悚,8.6,138299人评价,我不信仰上帝，但我敬畏上帝。
235,荒野生存,https://movie.douban.com/subject/1905462/,西恩·潘 Sean Penn,埃米尔·赫斯基 Emile Hirsch / 马西娅·...,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p465687407.jpg,2007,美国,冒险 传记 剧情,8.6,145537人评价,出门必备：本草纲目。
236,黑鹰坠落,https://movie.douban.com/subject/1291824/,雷德利·斯科特 Ridley Scott,乔什·哈奈特 Josh Hartnett / ...,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1910900710.jpg,2001,美国,动作 历史 战争,8.6,140173人评价,还原真实而残酷的战争。
237,我爱你,https://movie.douban.com/subject/5908478/,秋昌民 Chang-min Choo,宋在河 Jae-ho Song / 李顺载 Soon-jae...,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1075591188.jpg,2011,韩国,剧情 爱情,9.0,70238人评价,你要相信，这世上真的有爱存在，不管在什么年纪 
238,英国病人,https://movie.douban.com/subject/1291853/,安东尼·明格拉 Anthony Minghella,拉尔夫·费因斯 Ralph Fien...,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2408623752.jpg,1996,美国 英国,爱情 剧情 战争,8.5,193245人评价,"In memory, love lives forever..."
239,千钧一发,https://movie.douban.com/subject/1300117/,安德鲁·尼科尔 Andrew Niccol,伊桑·霍克 Ethan Hawke / 乌玛...,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2195672555.jpg,1997,美国,剧情 科幻 惊悚,8.7,106734人评价,一部能引人思考的科幻励志片。
240,天书奇谭,https://movie.douban.com/subject/1428581/,王树忱 Shuchen Wang / 钱运达 Yunda Qian,丁建华 Jianhua Din...,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p842504080.jpg,1983,中国大陆,动画,9.1,60395人评价,传奇的年代，醉人的童话。
241,遗愿清单,https://movie.douban.com/subject/1867345/,罗伯·莱纳 Rob Reiner,杰克·尼科尔森 Jack Nicholson / 摩根...,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p708613284.jpg,2007,美国,冒险 喜剧 剧情,8.5,155603人评价,用剩余不多的时间，去燃烧整个生命。
242,2001太空漫游,https://movie.douban.com/subject/1292226/,斯坦利·库布里克 Stanley Kubrick,凯尔·杜拉 Keir Dullea / ...,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p792189453.jpg,1968,英国 美国,科幻 惊悚 冒险,8.7,114726人评价,现代科幻电影的开山之作，最伟大导演的最伟大影片。
243,荒岛余生,https://movie.douban.com/subject/1298653/,罗伯特·泽米吉斯 Robert Zemeckis,汤姆·汉克斯 Tom Hanks / ...,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2207673534.jpg,2000,美国,冒险 剧情,8.5,158995人评价,一个人的独角戏。
244,迁徙的鸟,https://movie.douban.com/subject/1292281/,雅克·贝汉 Jacques Perrin / 雅克·克鲁奥德 Jacques Cluzaud,...,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2238274168.jpg,2001,法国 德国 意大利 西班牙 瑞士,纪录片,9.1,56816人评价,最美的飞翔。
245,勇士,https://movie.douban.com/subject/3217169/,加文·欧康诺 Gavin O'Connor,汤姆·哈迪 Tom Hardy / 乔尔·...,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1145536386.jpg,2011,美国,剧情 运动 家庭,8.9,97898人评价,热血沸腾，相当完美的娱乐拳击大餐。
246,枪火,https://movie.douban.com/subject/1300741/,杜琪峰 Johnnie To,吴镇宇 Francis Ng / 任达华 Simon Yam / ...,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1538646661.jpg,1999,香港,剧情 动作 犯罪,8.7,115732人评价,一群演技精湛的戏骨，奉献出一个精致的黑帮小品，成就杜琪峰群戏的巅峰之作。
247,燕尾蝶,https://movie.douban.com/subject/1307793/,岩井俊二 Shunji Iwai,恰拉 Chara / 伊藤步 Ayumi Ito / 三上...,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p532195562.jpg,1996,日本,犯罪 剧情,8.6,116731人评价,现实与童话交相辉映的旅程。
248,叫我第一名,https://movie.douban.com/subject/4798888/,彼得·维纳 Peter Werner,詹姆斯·沃克 James Wolk / 特里特·...,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p628364149.jpg,2008,美国,剧情 传记,8.6,122115人评价,乐观比一切都有力量。
249,海蒂和爷爷,https://movie.douban.com/subject/25958717/,阿兰·葛斯彭纳 Alain Gsponer,阿努克·斯特芬 Anuk Steffen /...,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2332944143.jpg,2015,德国 瑞士 南非,剧情 冒险 家庭,9.0,65836人评价,
250,穆赫兰道,https://movie.douban.com/subject/1292217/,大卫·林奇 David Lynch,娜奥米·沃茨 Naomi Watts / 劳拉·哈...,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p792248233.jpg,2001,法国 美国,剧情 悬疑 惊悚,8.3,264865人评价,大卫·林奇的梦境迷宫。
