actor,country,director,image_link,link,people,rank,score,title,typ,words,year
娜塔莉·波特曼 Natalie Por..., 美国 英国 德国 ,詹姆斯·麦克特格 James McTeigue,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1465235231.jpg,https://movie.douban.com/subject/1309046/,536523人评价,48,8.8,"V字仇杀队, / V for Vendetta, / V煞(港)  /  V怪客(台)", 剧情 动作 科幻 惊悚,一张面具背后的理想与革命。,2005 
John Chisholm / Mandy-Rae Cruikshank / Char..., 美国 ,Louie Psihoyos,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p455222172.jpg,https://movie.douban.com/subject/3442220/,217793人评价,49,9.3,"海豚湾, / The Cove, / 血色海湾(台)  /  海湾", 纪录片,海豚的微笑，是世界上最高明的伪装。,2009 
阿尔·帕西诺 A..., 美国 ,弗朗西斯·福特·科波拉 Francis Ford Coppola,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2194138787.jpg,https://movie.douban.com/subject/1299131/,241411人评价,50,9.1,"教父2, / The Godfather: Part Ⅱ, / 教父续集  /  教父II", 剧情 犯罪,优雅的孤独。,1974 
伊利亚·伍德 Elijah Wood / 西恩..., 美国 新西兰 ,彼得·杰克逊 Peter Jackson,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p909265336.jpg,https://movie.douban.com/subject/1291572/,339828人评价,51,9.0,"指环王2：双塔奇兵, / The Lord of the Rings: The Two Towers, / 魔戒二部曲：双城奇谋  /  指环王II：双塔", 剧情 动作 奇幻 冒险,承前启后的史诗篇章。,2002 
伊利亚·伍德 Elijah Wood / 西恩..., 新西兰 美国 ,彼得·杰克逊 Peter Jackson,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1354436051.jpg,https://movie.douban.com/subject/1291571/,380480人评价,52,8.9,"指环王1：魔戒再现, / The Lord of the Rings: The Fellowship of the Ring, / 魔戒首部曲：魔戒现身  /  指环王I：护戒使者", 剧情 动作 奇幻 冒险,传说的开始。,2001 
罗素·克劳 Russell Crowe / 艾德·哈..., 美国 ,朗·霍华德 Ron Howard,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1665997400.jpg,https://movie.douban.com/subject/1306029/,377746人评价,53,8.9,"美丽心灵, / A Beautiful Mind, / 有你终生美丽(港)  /  美丽境界(台)", 传记 剧情,爱是一切逻辑和原由。,2001 
郎雄 Sihung Lung / 杨贵媚 Kuei-Mei Yang / 吴..., 台湾 美国 ,李安 Ang Lee,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1910899751.jpg,https://movie.douban.com/subject/1291818/,261525人评价,54,9.1,"饮食男女, / 飲食男女, / Eat Drink Man Woman", 剧情 家庭,人生不能像做菜，把所有的料都准备好了才下锅。,1994 
中山美穗 Miho Nakayama / 丰川悦司 Ets..., 日本 ,岩井俊二 Shunji Iwai,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p449897379.jpg,https://movie.douban.com/subject/1292220/,467455人评价,55,8.8,"情书, / Love Letter, / When I Close My Eyes  /  Letters of Love", 剧情 爱情,暗恋的极致。,1995 
薛景求 Kyung-gu Sol / 严志媛 Ji-won Uhm ..., 韩国 ,李濬益 Jun-ik Lee,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2118532944.jpg,https://movie.douban.com/subject/21937452/,247846人评价,56,9.1,"素媛, / 소원, / 许愿  /  希望：为爱重生(台)", 剧情,受过伤害的人总是笑得最开心，因为他们不愿意让身边的人承受一样的痛苦。,2013 
乔纳森·泰勒·托马..., 美国 ,Roger Allers / 罗伯·明可夫 Rob Minkoff,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p726659067.jpg,https://movie.douban.com/subject/1301753/,358844人评价,57,8.9,"狮子王, / The Lion King, / 狮子王3D", 剧情 动画 冒险 歌舞 家庭,动物版《哈姆雷特》。,1994 
艾德里安·布洛迪 Adrien Brod..., 法国 德国 英国 波兰 ,罗曼·波兰斯基 Roman Polanski,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p792484461.jpg,https://movie.douban.com/subject/1296736/,249304人评价,58,9.1,"钢琴家, / The Pianist, / 战地琴声(台)  /  战地琴人", 剧情 传记 历史 战争 音乐,音乐能化解仇恨。,2002 
尊龙 John Lone / 陈..., 英国 意大利 中国大陆 法国 美国 ,贝纳尔多·贝托鲁奇 Bernardo Bertolucci,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p452089833.jpg,https://movie.douban.com/subject/1293172/,253130人评价,59,9.1,"末代皇帝, / The Last Emperor, / 末代皇帝溥仪(港)", 剧情 传记 历史,“不要跟我比惨，我比你更惨”再适合这部电影不过了。,1987 
罗伯特·德尼罗 Robert De Niro ..., 意大利 美国 ,赛尔乔·莱翁内 Sergio Leone,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p477229647.jpg,https://movie.douban.com/subject/1292262/,214526人评价,60,9.1,"美国往事, / Once Upon a Time in America, / 四海兄弟(台)  /  义薄云天(港)", 犯罪 剧情,往事如烟，无处祭奠。,1984 
Amir Farrokh Hashemian / 默罕..., 伊朗 ,马基德·马基迪 Majid Majidi,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2165511465.jpg,https://movie.douban.com/subject/1303021/,180771人评价,61,9.2,"小鞋子, / بچههای آسمان, / 天堂的孩子  /  小童鞋", 剧情 家庭 儿童,奔跑的孩子是天使。,1997 
摩根·弗里曼 Morgan Freeman / 布..., 美国 ,大卫·芬奇 David Fincher,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p457631605.jpg,https://movie.douban.com/subject/1292223/,519861人评价,62,8.8,"七宗罪, / Se7en, / 火线追缉令(台)  /  7宗罪", 剧情 犯罪 悬疑 惊悚,警察抓小偷，老鼠玩死猫。,1995 
中谷美纪 Miki Nakatani / 瑛太 E..., 日本 ,中岛哲也 Tetsuya Nakashima,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p453723669.jpg,https://movie.douban.com/subject/1787291/,375314人评价,63,8.9,"被嫌弃的松子的一生, / 嫌われ松子の一生, / 花样奇缘(港)  /  令人讨厌的松子的一生(台)", 剧情 歌舞,以戏谑来戏谑戏谑。,2006 
凯特·布兰切特 Cate Blanchett / ..., 美国 ,大卫·芬奇 David Fincher,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2192535722.jpg,https://movie.douban.com/subject/1485260/,485023人评价,64,8.8,"本杰明·巴顿奇事, / The Curious Case of Benjamin Button, / 奇幻逆缘(港)  /  班杰明的奇幻旅程(台)", 剧情 爱情 奇幻,在时间之河里感受溺水之苦。,2008 
休·杰克曼 Hugh Jackman..., 美国 英国 ,克里斯托弗·诺兰 Christopher Nolan,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p480383375.jpg,https://movie.douban.com/subject/1780330/,425044人评价,65,8.8,"致命魔术, / The Prestige, / 顶尖对决(台)  /  死亡魔法(港)", 剧情 悬疑 惊悚,孪生蝙蝠侠大战克隆金刚狼。,2006 
莫妮卡·贝鲁奇 Monica ..., 意大利 美国 ,朱塞佩·托纳多雷 Giuseppe Tornatore,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p792400696.jpg,https://movie.douban.com/subject/1292402/,452298人评价,66,8.8,"西西里的美丽传说, / Malèna, / 真爱伴我行(台)  /  玛莲娜", 剧情 战争 情色,美丽无罪。,2000 
., 美国 澳大利亚 ,安迪·沃卓斯基 Andy Wachowski / 拉娜·沃卓斯基 Lana Wachowski,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p451926968.jpg,https://movie.douban.com/subject/1291843/,357706人评价,67,8.9,"黑客帝国, / The Matrix, / 廿二世纪杀人网络(港)  /  骇客任务(台)", 动作 科幻,视觉革命。,1999 
姜文 Wen Jiang / 葛优 You Ge / 周润发 Yun-F..., 中国大陆 香港 ,姜文 Wen Jiang,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1512562287.jpg,https://movie.douban.com/subject/3742360/,791624人评价,68,8.7,"让子弹飞, / 让子弹飞一会儿  /  火烧云", 剧情 喜剧 动作 西部,你给我翻译翻译，神马叫做TMD的惊喜。,2010 
汤姆·汉克斯 Tom Hanks..., 美国 ,史蒂文·斯皮尔伯格 Steven Spielberg,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1014542496.jpg,https://movie.douban.com/subject/1292849/,305847人评价,69,8.9,"拯救大兵瑞恩, / Saving Private Ryan, / 雷霆救兵(港)  /  抢救雷恩大兵(台)", 剧情 历史 战争,美利坚精神输出大片No1.,1998 
马里奥·卡萨斯 Mario Casas / 阿..., 西班牙 ,奥里奥尔·保罗 Oriol Paulo,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2498971355.jpg,https://movie.douban.com/subject/26580232/,482658人评价,70,8.7,"看不见的客人, / Contratiempo, / 佈局(台)  /  死无对证(港)", 剧情 犯罪 悬疑 惊悚,你以为你以为的就是你以为的。,2016 
奥黛丽·塔图 Audrey Tau..., 法国 德国 ,让-皮埃尔·热内 Jean-Pierre Jeunet,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p803896904.jpg,https://movie.douban.com/subject/1292215/,578173人评价,71,8.7,"天使爱美丽, / Le fabuleux destin d'Amélie Poulain, / 艾蜜莉的异想世界(台)  /  天使艾米莉", 喜剧 爱情,法式小清新。 ,2001 
朱丽·安德鲁斯 Julie Andrews / 克里斯托弗·普..., 美国 ,Robert Wise,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p453788577.jpg,https://movie.douban.com/subject/1294408/,284925人评价,72,8.9,"音乐之声, / The Sound of Music, / 仙乐飘飘处处闻(港)  /  真善美(台)", 剧情 传记 爱情 歌舞,用音乐化解仇恨，让歌声串起美好。,1965 
